"","X","ID_BIO","n","W","Lt","Ls","Date","ID","FC","H","A","FCrel","L.H","L.H.1","L.H.A"
"819",819,"BIO 28 03 2023",20,89,17.5,14.5,"45013","129",89,5,2.5,0.968153456852657,87.5,22.5,218.75
"202",202,"BIO4 2021",12,115,19,16,"44386","1",115,6.4,2.8,0.989444136321838,121.6,25.4,340.48
"255",255,NA,6,NA,5.5,4.4,"44489",NA,3,1.6,0.8,0.885738603177463,8.8,7.1,7.04
"1140",1140,"BIO 150723",6,37,12.5,NA,"45122","159",37,4.5,2,1.05078309114888,56.25,17,112.5
"997",997,"BIO 280823",14,425,29,23,"45166","14",425,9.5,3,1.09478426984453,275.5,38.5,826.5
"527",527,"BIO4-03-2022",1,177,22.5,18.5,"44708",NA,177,6.2,2.8,0.940258857716322,139.5,28.7,390.6
"337",337,"BIO1-01-2022",26,14,10,8.5,"44722",NA,14,2.5,1.2,0.751323104496901,25,12.5,30
"1052",1052,"BIO 280823",69,327,26.5,21,"45166","69",327,8,3.5,1.08930432726634,212,34.5,742
"945",945,"BIO 19 06 23",14,13,9,8,"45096","127",13,2.5,1.5,0.942198533777693,22.5,11.5,33.75
"1035",1035,"BIO 280823",52,425,28.5,24,"45166","52",425,9,3,1.15045622400762,256.5,37.5,769.5
"84",84,"BIO12021",40,57,15.5,12.5,"44205",NA,57,5,2.2,0.876491202119143,77.5,20.5,170.5
"938",938,"BIO 19 06 23",7,13,9,7,"45096","120",13,3,1.5,0.942198533777693,27,12,40.5
"195",195,"BIO4 2021",8,91,17,14,"44386","1",91,6,2.7,1.07522604886,102,23,275.4
"704",704,"BIO 0702 2023",12,104,18.5,15,"44964","12",104,6,3,0.965513339986303,111,24.5,333
"1119",1119,"BIO 280823",138,138,20,16.4,"45166","138",138,6.5,3.3,1.02574698107464,130,26.5,429
"1185",1185,"BIO 150923",24,20,10,8.3,"45184","24",20,3,1.6,1.07331872070986,30,13,48
"730",730,"BIO 0702 2023",38,25,11,8.6,"44964","38",25,3.5,2,1.02231981674305,38.5,14.5,77
"1014",1014,"BIO 280823",31,76,16.5,13,"45166","31",76,5,2,0.977795630215279,82.5,21.5,165
"122",122,"BIO2 2021",10,24,11.6,9.5,"44303","1",24,3.6,1.6,0.843481895093366,41.76,15.2,66.816
"735",735,"BIO 0702 2023",43,8,7.5,5.7,"44964","43",8,2,1,0.975245539122839,15,9.5,15
"1246",1246,"BIO 150923",85,11,7.6,6,"45184","85",11,2.5,1.2,1.29125206378606,19,10.1,22.8
"786",786,"BIO 06 02 2023",13,57,15,12,"44963","94",57,5,2.5,0.962412585221363,75,20,187.5
"753",753,"BIO 06 02 2023",3,75,16.5,13.5,"44963","61",75,5,2.5,0.964929898238762,82.5,21.5,206.25
"14",14,"BIO12021",71,17,10,8,"44205","3",17,4.5,2.1,0.912320912603379,45,14.5,94.5
"751",751,"BIO 06 02 2023",1,70,15,12.5,"44963","59",70,5,2.5,1.18191019237711,75,20,187.5
"73",73,"BIO12021",17,55,14.5,11.5,"44205","2",55,4.5,2,1.02291572700614,65.25,19,130.5
"224",224,NA,1,114,18.8,16,"44489",NA,114,6,3,1.01089342983825,112.8,24.8,338.4
"598",598,"BIO02-2022",6,251,25,20.5,"44844",NA,251,8.5,4,0.987296336321612,212.5,33.5,850
"1009",1009,"BIO 280823",26,421,30,24.5,"45166","26",421,9,4,0.984534606078511,270,39,1080
"1141",1141,"BIO 150723",7,30,12,NA,"45122","160",30,4,2,0.95718316073135,48,16,96
"1051",1051,"BIO 280823",68,137,19.5,15.5,"45166","68",137,6,2.5,1.0945624980163,117,25.5,292.5
"479",479,"BIO4-2-2022",24,122,20.5,17,"44701",NA,122,5.5,2.3,0.845155316221991,112.75,26,259.325
"230",230,NA,7,65,15.1,12.6,"44489",NA,65,5,2.4,1.07688620002509,75.5,20.1,181.2
"1074",1074,"BIO 280823",91,118,19.5,16,"45166","91",118,6,2.5,0.942761859605281,117,25.5,292.5
"357",357,"BIO3-01-2022",8,23,10.5,8,"44687",NA,23,3,1.5,1.0739762161331,31.5,13.5,47.25
"76",76,"BIO12021",18,43,15,12.5,"44205","2",43,4,1.9,0.726030546745941,60,19,114
"1229",1229,"BIO 150923",68,8,7.5,6.1,"45184","68",8,2,1,0.975245539122839,15,9.5,15
"881",881,NA,1,372,28.5,22.5,"45065","22",372,8.5,4,1.00698756548432,242.25,37,969
"947",947,"BIO 19 06 23",16,4,6.5,5,"45096","129",4,2,1,0.733381257583904,13,8.5,13
"853",853,"BIO 28 03 2023",14,444,28.5,23.5,"45013","163",444,10,4.5,1.20188838461032,285,38.5,1282.5
